Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Species_Population
0,1.2374238236615152,2.0160347750121543,0.658344497640847,1.7113818959150924,2.367841544507866,2.3663616119204702,1.0318013074496293,1.440247433723723,1.190981259022919,1.9144872365516652,0
1,1.1131003236244272,1.8087236992219684,0.6081715296560133,1.5402593189387825,2.148631216696197,2.1451585679788954,0.9380038174220559,1.3006227276582594,1.0667474489682152,1.9279083801992603,0
0,1.2164871816235923,1.9862383650695892,0.6481219089057871,1.669612290987049,2.316472279399232,2.3171862415817013,0.990719495895997,1.398469076317468,1.141634889521068,1.9078638203568763,0
1,1.1225050147596682,1.7159331455502909,0.5962417718303901,1.4955021819503251,2.091279601339415,2.0871576106630987,0.9577801079772075,1.2867894667383486,1.0615029369274114,1.8606101198982772,0
0,1.2172362274641801,1.9368826762648437,0.6403999992317176,1.6583952231004504,2.299854912457361,2.29705584726373,1.0103584286113485,1.4184477890818918,1.1465543211797895,1.8876567352546294,0
1,1.1050077295947387,1.7963979397134229,0.5852729079453176,1.5229506648772542,2.1088980694983688,2.1059977255290807,0.9183529298749427,1.2840039049138279,1.0465211010240774,1.908474648581647,0
1,1.1264226907440171,1.8346641949252025,0.596416673811602,1.5590159080568857,2.1543514633343643,2.1528778784177227,0.9517369046803704,1.3133150301444927,1.09024192914664,1.9087432621931637,0
1,1.102096524294523,1.7712151626758927,0.5681304193659963,1.4929290001369049,2.059380712077186,2.0592721975940043,0.9239280522963063,1.2766123655434372,1.0650170156937777,1.8673863749744395,0
0,1.2136163933589768,2.0018064882444673,0.65823387575223,1.6885743461231533,2.3469549567543795,2.34304353660465,1.001419266782438,1.4197199623878538,1.1447956458537736,1.9326374958624795,0
1,1.1152053465266167,1.7724503536855458,0.6019587585632106,1.5050248138311713,2.1055619188717642,2.1037300042601,0.9186121886642703,1.2683967217768737,1.04873416456744,1.8887818153394034,0
0,1.1537508324596697,1.856532833608954,0.6285875823885645,1.591310400443505,2.2157207065904574,2.2182698395731566,0.9656198874461298,1.3471824801907974,1.0957759918166363,1.9213802342698663,0
1,1.154950089188838,1.7491527755990899,0.5749163819540125,1.5058506214637637,2.080342773231767,2.0805247498546615,0.9576907375042237,1.3092235722755061,1.069984434844186,1.8028615697629322,0
0,1.2393477669755995,1.9729690352713647,0.6513514624920612,1.6805177689170598,2.328317703935515,2.326638887832179,1.024366455147162,1.4388885462891998,1.1541706832665564,1.8784219946036884,0
0,1.2439994433902175,2.0032443316926583,0.6470081241522296,1.678991483679642,2.3304287801199646,2.3289110043586456,1.0276268814037874,1.4282015802433594,1.1862513570139748,1.8695525536334319,0
1,1.1693911496237523,1.8456443110783352,0.6322577607521968,1.5378529344570269,2.1700426404648048,2.16860706598606,0.9446796463371292,1.3182909408886285,1.0927460950789707,1.854877449612335,0
1,1.1227253345775583,1.7263909810703932,0.6163386515791944,1.4388639035838342,2.0576737902695363,2.0542737722199815,0.8534888208938024,1.2084622186590095,0.9853379267303713,1.831362759504689,0
1,1.1079774321680842,1.801586702892914,0.6252289563779151,1.5065606790693735,2.1277546403270535,2.1284138419952274,0.9617741845458798,1.3024401360885218,1.1027159692044897,1.9223471367516773,0
0,1.2248445602950921,1.931513914717224,0.6569958043567962,1.6054831818978426,2.2616623455287836,2.263860758813465,1.010656865841853,1.3903004384333457,1.160136988044949,1.8469433970361329,0
