Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Species_Population
0,1.238,2.017,0.659,1.711,2.37,2.37,1.032,1.441,1.192,1.914,0
1,1.113,1.811,0.609,1.539,2.148,2.146,0.938,1.299,1.066,1.928,0
0,1.215,1.985,0.648,1.671,2.319,2.319,0.991,1.396,1.142,1.908,0
1,1.123,1.713,0.596,1.495,2.091,2.088,0.958,1.286,1.062,1.86,0
0,1.218,1.938,0.641,1.658,2.298,2.298,1.01,1.418,1.148,1.886,0
1,1.104,1.794,0.585,1.525,2.11,2.107,0.919,1.285,1.046,1.909,0
1,1.127,1.833,0.596,1.558,2.154,2.152,0.952,1.311,1.089,1.909,0
1,1.102,1.774,0.568,1.492,2.059,2.058,0.923,1.277,1.065,1.867,0
0,1.214,2.002,0.657,1.689,2.346,2.345,1.002,1.421,1.146,1.932,0
1,1.115,1.773,0.601,1.504,2.105,2.105,0.919,1.271,1.048,1.888,0
0,1.154,1.857,0.629,1.59,2.218,2.218,0.966,1.348,1.096,1.921,0
1,1.155,1.751,0.575,1.507,2.083,2.082,0.957,1.308,1.07,1.803,0
0,1.239,1.974,0.651,1.68,2.33,2.328,1.025,1.438,1.154,1.879,0
0,1.244,2.005,0.647,1.68,2.327,2.327,1.029,1.428,1.186,1.87,0
1,1.169,1.845,0.632,1.539,2.17,2.168,0.944,1.318,1.093,1.855,0
1,1.123,1.726,0.617,1.44,2.059,2.058,0.853,1.209,0.986,1.832,0
1,1.108,1.799,0.624,1.507,2.131,2.13,0.962,1.303,1.103,1.922,0
0,1.225,1.932,0.657,1.606,2.262,2.262,1.011,1.39,1.161,1.847,0
1,1.124,1.72,0.607,1.46,2.067,2.067,0.985,1.289,1.106,1.838,0
0,1.207,1.979,0.619,1.684,2.302,2.301,1.003,1.411,1.158,1.907,0
1,1.12,1.835,0.604,1.545,2.149,2.147,0.93,1.313,1.055,1.917,0
0,1.23,1.969,0.653,1.624,2.277,2.276,1.017,1.396,1.188,1.851,0
0,1.215,1.959,0.661,1.661,2.322,2.319,1.021,1.434,1.142,1.909,0
1,1.088,1.766,0.578,1.484,2.061,2.061,0.929,1.307,1.034,1.894,0
0,1.203,1.893,0.615,1.583,2.198,2.196,0.966,1.363,1.101,1.825,0
1,1.151,1.862,0.601,1.573,2.173,2.173,0.932,1.314,1.076,1.887,0
0,1.214,1.923,0.655,1.656,2.296,2.295,1.016,1.421,1.135,1.891,0
1,1.138,1.729,0.589,1.467,2.056,2.055,0.95,1.289,1.063,1.807,0
0,1.17,1.814,0.621,1.539,2.16,2.158,0.98,1.347,1.092,1.845,0
