Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Species_Population
0,1.2320544725867129,2.0354637398352686,0.6521812697441179,1.7449337860998204,2.4171295426092194,2.405405131092915,1.0374448860039136,1.449883152095035,1.2148743661331898,1.905819245351082,0
1,1.1453058419587727,1.8446760560390505,0.6089744190592695,1.534325034240308,2.143799887526969,2.1580460843664944,0.9272735912922188,1.3066627210895405,1.0871265419792187,1.9516930325856727,0
0,1.2016548309814339,1.9873105387498433,0.6357561147756542,1.6696034095394756,2.3012717541823045,2.322623955639172,0.9726662684324568,1.3854207910071012,1.1367769022590557,1.9162574084849506,0
1,1.1359636039328505,1.7274662206602809,0.6047915418010497,1.5019647195185157,2.083388347322989,2.0988932484882605,0.9768287993767946,1.3037523559851671,1.0479811313867244,1.8774775834580573,0
0,1.2155281493229744,1.902785800397159,0.6269093341486379,1.6431041253066168,2.3525629103162844,2.3193819862814715,1.004607332169829,1.4163326563026482,1.180510509623015,1.860241762488899,0
1,1.077423463483012,1.8043354433908567,0.590310712700058,1.5692806573504543,2.1618290307919863,2.133221219235041,0.9358193691182506,1.303772648953107,1.0361719141286196,1.8931254752688353,0
1,1.12907338791269,1.8288162239571095,0.595034428774182,1.567064213577986,2.113601388586582,2.1798909132271986,0.9615032314400888,1.3170977126852597,1.1183484381510531,1.904865601232444,0
1,1.103333183884743,1.7583492329721098,0.5605492499282555,1.4836384413183985,2.0869786499756957,2.1387145592732155,0.9352994786413966,1.25991102366197,1.0751608700422337,1.866029478901231,0
0,1.2126319271614792,1.962236087598059,0.6554323836087567,1.6641387563168148,2.3307407348570943,2.331201439938865,1.0121468224303587,1.3896226279471113,1.1291353113794347,1.929873940019379,0
1,1.103595125256332,1.7674862027216431,0.5940234691886005,1.483881220824282,2.136164166968285,2.0921920978377457,0.904370604436301,1.2478534791542533,1.0623262402610516,1.8796106338799252,0
0,1.1649247197723542,1.920456719387474,0.6407595835108947,1.602470161504227,2.1787712922882734,2.186578066582724,0.966903070360758,1.3450584686745033,1.105795072094263,1.921270718072017,0
1,1.1409633075122478,1.7677689574565267,0.5794121880493857,1.5077589930902129,2.0972144678943843,2.0468585701914956,0.945025611374075,1.3384295138753346,1.091859387846514,1.7994081852286568,0
0,1.2426577759819575,1.9819954694462456,0.659779061135785,1.671037818800747,2.341777465737898,2.322695961512266,1.0477326326439222,1.4402273019448175,1.1943703360580848,1.888772025190781,0
0,1.2572502844484164,1.943047062160632,0.6430774608038557,1.6972186171253096,2.2810324118987397,2.30497835140192,1.0252850596019258,1.4033008946820331,1.181170965016386,1.8715218063340666,0
1,1.1617393194596293,1.7943101176943088,0.6476164595081213,1.5696932259531549,2.174573175664446,2.1476570568079385,0.9551378451550296,1.3188744439219022,1.0920585758243126,1.8314038128111219,0
