Latitude,Longitude,Temperature,Vial,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Species_Population
-25.52,151.45,20,1,0,1.24122197972038,2.018920834303146,0.658230103535006,1.7079886414680432,2.3694576212098037,2.3754083643124524,1.032330913919287,1.4450000638304088,1.1913336551068907,1.9135498573525755,0
-25.52,151.45,20,1,1,1.1162805912658598,1.827974021587734,0.6087352580013723,1.539510909015127,2.1414559486900884,2.164464998014443,0.9356423814227888,1.2848473903713744,1.0649363106487733,1.9296121785615574,0
-25.52,151.45,20,1,0,1.2151344603867014,1.9945060328889441,0.650448488251597,1.667786942096404,2.3302865946082294,2.3247693615839657,0.9934186543942355,1.3947146659842922,1.138381561620961,1.9089655733567057,0
-25.52,151.45,20,1,1,1.123683871315796,1.7123276380500652,0.598373987054985,1.491461135338302,2.083525145394635,2.0818736181193094,0.9553030915444233,1.2909351082263278,1.0600978534850354,1.8623549840020301,0
-25.52,151.45,20,2,0,1.213308051446989,1.9393524399322344,0.6437905183352808,1.65139007186306,2.290628133586695,2.2967109956993057,1.0045579887731064,1.416212805103899,1.1580362108679323,1.8892604537059536,0
-25.52,151.45,20,2,1,1.1022040142736307,1.787493419784473,0.585972949661231,1.5131677463970616,2.089694130780946,2.1028291677295785,0.9179500461876241,1.2887512111429538,1.0488836166977225,1.9112662566958298,0
-25.52,151.45,20,2,1,1.1249910570976354,1.8342409700560705,0.5943085563142643,1.553760506240129,2.1631231638647233,2.15206548718276,0.9489092988058372,1.3007451146063782,1.0890826621072445,1.9121370647314195,0
-25.52,151.45,20,2,1,1.100526536014553,1.7663893560853232,0.565651752351938,1.4950385809595863,2.0562951177027355,2.067026091146066,0.9238734555582443,1.2784561070949005,1.05881209856916,1.8677261222407686,0
-25.52,151.45,20,3,0,1.2168621448879624,2.012305112613624,0.6551862807680944,1.6792716807932615,2.343309573180137,2.3423374568216184,1.0010360193149885,1.4186372794828155,1.141915341412811,1.9295162609049907,0
-25.52,151.45,20,3,1,1.1192060688448877,1.7703383929479932,0.6008295075698445,1.5069859641745744,2.1032487305997107,2.100325956454256,0.9242696947262837,1.2698451358999858,1.047825639813845,1.8907293932022358,0
-25.52,151.45,20,3,0,1.1560036732039591,1.859754869615047,0.6289349240783552,1.6037068792607734,2.2278008526481305,2.2222446606785433,0.9649245673752864,1.3431407935901996,1.1016070336012997,1.919699831637081,0
-25.52,151.45,20,3,1,1.1539387024429166,1.733328976222976,0.5776633817976577,1.5086946130457635,2.096247275277209,2.0752973226781943,0.9579290575744906,1.3161983060022966,1.0709446256880992,1.8053655151143244,0
-25.52,151.45,20,3,0,1.2365513746655956,1.9719307997889326,0.6503416454146346,1.6717898954221366,2.3157704085651964,2.320811720639244,1.021084226193848,1.4383533962031043,1.1548889514601086,1.874721625806276,0
-25.52,151.45,20,4,0,1.2442970657139238,2.002121091552241,0.6417617143057083,1.682378362029623,2.3231977881434465,2.3301404069450946,1.0275625607864476,1.4287470620524176,1.1905777357669645,1.868787181082435,0
-25.52,151.45,20,4,1,1.1699730736146619,1.8521335207115996,0.6289129392392022,1.5446583163034047,2.1606763066943437,2.1532707462300196,0.9409284260276503,1.3285686710920976,1.0889943821538677,1.8526437252796002,0
-25.52,151.45,20,4,1,1.122274819517684,1.7300472259158917,0.6144742981915188,1.4477064085431894,2.0571629333371546,2.054031297742619,0.8569919086200918,1.204258628891679,0.9917991670451491,1.8333378899613122,0
-25.52,151.45,20,4,1,1.1058371951967791,1.8068878652822702,0.6214718872021788,1.5081090735575635,2.1302520856109872,2.137036269548251,0.9594475012086495,1.3037172594690638,1.1014187674122067,1.9200326720641492,0
-25.52,151.45,20,5,0,1.2270190352982746,1.9354287811360502,0.6497376142747164,1.609571498656984,2.2478835284205334,2.2469250352680876,1.008808593497848,1.386507784727135,1.165776129895611,1.8469480777419744,0
-25.52,151.45,20,5,1,1.1263415162373192,1.729531953800856,0.6110624020868571,1.4650236996344448,2.070028037305478,2.052523096151905,0.9860068650587962,1.2852596145183026,1.1128877129759147,1.8375045707623416,0
-25.52,151.45,20,5,0,1.2026947309532168,1.982246600401957,0.613350669140707,1.68755866636848,2.298310617830904,2.2892104657224372,1.0005952909668443,1.4125779783587948,1.1542583941047413,1.9104994945881955,0
-25.52,151.45,20,5,1,1.118740724379465,1.824339654617331,0.6025149177029391,1.5468810579547019,2.155410556157743,2.124545651352162,0.9347495668849024,1.311555077113957,1.0550001504251447,1.9186051035645322,0
-25.52,151.45,20,5,0,1.2325527784736625,1.9683004294063904,0.6547041970462015,1.6202251685820412,2.2772488534064252,2.2915934549942953,1.0235962433511674,1.4061412383068042,1.1912543582966881,1.8519876578338652,0
-25.52,151.45,20,6,0,1.2182441487958542,1.9586994033322669,0.6625263150175671,1.6666394676292597,2.307903852956127,2.3199905623742536,1.0179762435701665,1.4431366784753807,1.1408177034903646,1.9090693511367847,0
-25.52,151.45,20,6,1,1.088211883799542,1.7407076781490536,0.574195861460778,1.4808339322470412,2.0660483335751354,2.0554878439319952,0.9318491960799199,1.3061670417156808,1.0329326386251079,1.8913850230657059,0
-25.52,151.45,20,6,0,1.2041988887347261,1.8851258520124539,0.6181235334606622,1.5983774881664357,2.1869933695634645,2.18539298110362,0.9631529298764273,1.355100019705169,1.099356982541851,1.8220113573533805,0
-25.52,151.45,20,6,1,1.1518287344535223,1.8778153926692474,0.6037465527395827,1.5692194289423238,2.162885153812349,2.1910972997546554,0.9307985890410073,1.3125073572691082,1.0683267835174683,1.8879450902479509,0
-25.52,151.45,20,6,0,1.2171316790582827,1.9208733222273093,0.6545304202199979,1.6607422784607293,2.293398091012744,2.3003852437127987,1.0183254123709988,1.4263700680954576,1.139361141583276,1.886179490484688,0
-25.52,151.45,20,6,1,1.1343599938420592,1.728183987932652,0.5890705378275689,1.4594514657136495,2.053658322721201,2.053944469036051,0.9504711510951557,1.284455322683718,1.0588360128060192,1.8068717282428457,0
-25.52,151.45,20,7,0,1.1708781797681334,1.79712642354278,0.6186349309376188,1.5361830839186585,2.1455978450993785,2.168026287018837,0.9805604626562963,1.355226150248598,1.0825589167573226,1.8453658127217796,0
-25.52,151.45,20,7,1,1.1420831031846954,1.8175642537425778,0.6026533591344749,1.5605184333493243,2.1647860501335803,2.1671961937830555,0.9667005380544478,1.3499793185764075,1.0773174455998116,1.886191091314673,0
-25.52,151.45,20,7,0,1.2155706691241743,1.9787516795138813,0.6665854092783167,1.6319211285151023,2.305269029252588,2.3008729707130593,1.0346771477923455,1.432997652535491,1.167999404262645,1.9008084657416133,0
-25.52,151.45,20,7,1,1.104526906522736,1.8574000343724215,0.6067401760031164,1.5806059429413917,2.1899476950117918,2.185014375893972,0.9681722015818703,1.3296160027485764,1.090564151650823,1.976021366724856,0
-25.52,151.45,20,7,0,1.2703405059517299,1.9714104323099573,0.6686709319895918,1.6871293818568767,2.3391358402353957,2.34614602865377,1.0368623173567975,1.4483403328001059,1.1714796038111333,1.8600862050059568,0
-25.52,151.45,20,7,1,1.1231006855518977,1.839049588275324,0.634858087049143,1.5135381352507826,2.1501819892703415,2.1396467587927885,0.945003107543022,1.305867950179359,1.086744476803507,1.908032112721993,0
-25.52,151.45,20,8,0,1.2314691707316896,1.9455689160002065,0.6703173454716548,1.670048983054714,2.330088489765117,2.3321388267379444,1.0406011772205281,1.4261278406461253,1.1830013243415132,1.8929834961515961,0
-25.52,151.45,20,8,1,1.124441579844619,1.8259228945203856,0.5636661363725298,1.5734964830074778,2.1339397067917845,2.1397414123941236,0.9206484356636625,1.2970519321416916,1.0695550570272288,1.9105222047588042,0
-25.52,151.45,20,8,0,1.215786483850313,1.9463134046127348,0.6434500986656775,1.6961203322685907,2.3231659080875344,2.3411252190664347,0.9893657269322905,1.406048372407041,1.117495384270209,1.9178793879443081,0
-25.52,151.45,20,8,1,1.1064350465527675,1.8276872805814193,0.5797938600334787,1.5464986046875628,2.1384668405557004,2.1241869493229153,0.909275050725278,1.2986597551596113,1.0528516185223278,1.9408293854672818,0
-25.52,151.45,20,8,0,1.229694569223915,1.9846774125954387,0.6493652476368108,1.6976720607255515,2.35197716794546,2.3340751526116676,1.0345181099508698,1.4202488469141006,1.1877475587983584,1.894079914536711,0
-25.52,151.45,20,8,1,1.1140390131399096,1.7115266672268143,0.5592716230666332,1.5266287544080879,2.0856335123700935,2.080280470938122,0.9389529778146382,1.2795539074060542,1.0456109133495173,1.8746979046245458,0
-25.52,151.45,20,9,0,1.2288461008595104,1.9820148894331338,0.6466738206340583,1.7079856173599275,2.3463074228406344,2.341608235897604,1.019479668596126,1.4197922039332687,1.1722914878190656,1.9189591015010317,0
-25.52,151.45,20,9,1,1.1370399541874592,1.7840879526760207,0.5902219016413611,1.537046513292561,2.129628096185483,2.1201786806234573,0.9218510297521338,1.301918767837244,1.0254431548426859,1.869718836443043,0
